ticker_code;date;close
US5949181045;2000-01-03;111.5
US5949181045;2000-01-04;112
US5949181045;2000-01-05;107.5
US5949181045;2000-01-06;109.5
US5949181045;2000-01-07;108.5
US5949181045;2000-01-10;110
US5949181045;2000-01-11;110
US5949181045;2000-01-12;104.5
US5949181045;2000-01-13;99.75
US5949181045;2000-01-14;108.5
US5949181045;2000-01-17;111.1
US5949181045;2000-01-18;114
US5949181045;2000-01-19;107.5
US5949181045;2000-01-20;108
US5949181045;2000-01-21;104
US5949181045;2000-01-24;104.6
US5949181045;2000-01-25;100.5
US5949181045;2000-01-26;101
US5949181045;2000-01-27;103
US5949181045;2000-01-28;101
US5949181045;2000-01-31;97.1
US5949181045;2000-02-01;103
US5949181045;2000-02-02;106
US5949181045;2000-02-03;104.2
US5949181045;2000-02-04;107.9
US5949181045;2000-02-07;108.4
US5949181045;2000-02-08;110.4
US5949181045;2000-02-09;109.2
US5949181045;2000-02-10;104.3
US5949181045;2000-02-11;102.5
US5949181045;2000-02-14;103.5
US5949181045;2000-02-15;99
US5949181045;2000-02-16;99.5
US5949181045;2000-02-17;99.6
US5949181045;2000-02-18;100.6
US5949181045;2000-02-21;97.5
US5949181045;2000-02-22;93.05
US5949181045;2000-02-23;93.5
US5949181045;2000-02-24;93.9
US5949181045;2000-02-25;96
US5949181045;2000-02-28;91.6
US5949181045;2000-02-29;93
US5949181045;2000-03-01;96.5
US5949181045;2000-03-02;97.5
US5949181045;2000-03-03;101.35
US5949181045;2000-03-06;100.2
US5949181045;2000-03-07;100.1
US5949181045;2000-03-08;96.55
US5949181045;2000-03-09;99.5
US5949181045;2000-03-10;106
US5949181045;2000-03-13;106
US5949181045;2000-03-14;102.6
US5949181045;2000-03-15;98.3
US5949181045;2000-03-16;98.1
US5949181045;2000-03-17;100.05
US5949181045;2000-03-20;102.5
US5949181045;2000-03-21;101.95
US5949181045;2000-03-22;108.9
US5949181045;2000-03-23;112.5
US5949181045;2000-03-24;118
US5949181045;2000-03-27;109
US5949181045;2000-03-28;107
US5949181045;2000-03-29;110.1
US5949181045;2000-03-30;111.5
US5949181045;2000-03-31;109
US5949181045;2000-04-03;97.5
US5949181045;2000-04-04;93.8
US5949181045;2000-04-05;90
US5949181045;2000-04-06;91.75
US5949181045;2000-04-07;90
US5949181045;2000-04-10;92
US5949181045;2000-04-11;88.4
US5949181045;2000-04-12;83.1
US5949181045;2000-04-13;84.8
US5949181045;2000-04-14;81.2
US5949181045;2000-04-17;79.3
US5949181045;2000-04-18;83
US5949181045;2000-04-19;84.5
US5949181045;2000-04-20;84.2
US5949181045;2000-04-21;84.2
US5949181045;2000-04-24;84.2
US5949181045;2000-04-25;74.3
US5949181045;2000-04-26;76.9
US5949181045;2000-04-27;75
US5949181045;2000-04-28;76.5
US5949181045;2000-05-01;76.5
US5949181045;2000-05-02;79.3
US5949181045;2000-05-03;78
US5949181045;2000-05-04;78.5
US5949181045;2000-05-05;80.2
US5949181045;2000-05-08;79.9
US5949181045;2000-05-09;79.9
US5949181045;2000-05-10;74
US5949181045;2000-05-11;75
US5949181045;2000-05-12;76.6
US5949181045;2000-05-15;75.2
US5949181045;2000-05-16;77.9
US5949181045;2000-05-17;76.5
US5949181045;2000-05-18;75.6
US5949181045;2000-05-19;73.5
US5949181045;2000-05-22;69.8
US5949181045;2000-05-23;71
US5949181045;2000-05-24;71.5
US5949181045;2000-05-25;70
US5949181045;2000-05-26;67
US5949181045;2000-05-29;66.8
US5949181045;2000-05-30;68
US5949181045;2000-05-31;68.5
US5949181045;2000-06-01;70.3
US5949181045;2000-06-02;70.5
US5949181045;2000-06-05;72.1
US5949181045;2000-06-06;72.8
US5949181045;2000-06-07;72.5
US5949181045;2000-06-08;73
US5949181045;2000-06-09;72.2
US5949181045;2000-06-12;70.2
US5949181045;2000-06-13;69.5
US5949181045;2000-06-14;73.5
US5949181045;2000-06-15;75.7
US5949181045;2000-06-16;74.5
US5949181045;2000-06-19;74.5
US5949181045;2000-06-20;77.9
US5949181045;2000-06-21;83.6
US5949181045;2000-06-22;86.5
US5949181045;2000-06-23;83
US5949181045;2000-06-26;84
US5949181045;2000-06-27;83.85
US5949181045;2000-06-28;84.05
US5949181045;2000-06-29;82
US5949181045;2000-06-30;81.5
US5949181045;2000-07-03;83.8
US5949181045;2000-07-04;83.5
US5949181045;2000-07-05;83.5
US5949181045;2000-07-06;83.9
US5949181045;2000-07-07;83.9
US5949181045;2000-07-10;84
US5949181045;2000-07-11;84.1
US5949181045;2000-07-12;84
US5949181045;2000-07-13;83.5
US5949181045;2000-07-14;83.7
US5949181045;2000-07-17;84.3
US5949181045;2000-07-18;84
US5949181045;2000-07-19;79.5
US5949181045;2000-07-20;80.7
US5949181045;2000-07-21;78
US5949181045;2000-07-24;78
US5949181045;2000-07-25;74.9
US5949181045;2000-07-26;71.5
US5949181045;2000-07-27;71.5
US5949181045;2000-07-28;76.2
US5949181045;2000-07-31;76.1
US5949181045;2000-08-01;74.5
US5949181045;2000-08-02;76.8
US5949181045;2000-08-03;76.2
US5949181045;2000-08-04;75.3
US5949181045;2000-08-07;76.8
US5949181045;2000-08-08;80.5
US5949181045;2000-08-09;80.5
US5949181045;2000-08-10;80.03
US5949181045;2000-08-11;79.8
US5949181045;2000-08-14;79.5
US5949181045;2000-08-15;79.3
US5949181045;2000-08-16;78.4
US5949181045;2000-08-17;77.9
US5949181045;2000-08-18;78
US5949181045;2000-08-21;77.5
US5949181045;2000-08-22;79
US5949181045;2000-08-23;78.2
US5949181045;2000-08-24;77.7
US5949181045;2000-08-25;78.5
US5949181045;2000-08-28;78
US5949181045;2000-08-29;81
US5949181045;2000-08-30;78.5
US5949181045;2000-08-31;80
US5949181045;2000-09-01;77.9
US5949181045;2000-09-04;77.1
US5949181045;2000-09-05;79.05
US5949181045;2000-09-06;80
US5949181045;2000-09-07;80.9
US5949181045;2000-09-08;80
US5949181045;2000-09-11;80
US5949181045;2000-09-12;79.7
US5949181045;2000-09-13;78.5
US5949181045;2000-09-14;78
US5949181045;2000-09-15;74.5
US5949181045;2000-09-18;74.1
US5949181045;2000-09-19;74.6
US5949181045;2000-09-20;74.55
US5949181045;2000-09-21;75
US5949181045;2000-09-22;70.5
US5949181045;2000-09-25;70.2
US5949181045;2000-09-26;71.8
US5949181045;2000-09-27;70
US5949181045;2000-09-28;69.1
US5949181045;2000-09-29;67
US5949181045;2000-10-02;67.4
US5949181045;2000-10-03;67.4
US5949181045;2000-10-04;64.5
US5949181045;2000-10-05;64.4
US5949181045;2000-10-06;63.9
US5949181045;2000-10-09;62.55
US5949181045;2000-10-10;63.3
US5949181045;2000-10-11;64.4
US5949181045;2000-10-12;63.1
US5949181045;2000-10-13;62
US5949181045;2000-10-16;59.5
US5949181045;2000-10-17;60.2
US5949181045;2000-10-18;61.5
US5949181045;2000-10-19;72.5
US5949181045;2000-10-20;77.5
US5949181045;2000-10-23;74
US5949181045;2000-10-24;73.8
US5949181045;2000-10-25;75
US5949181045;2000-10-26;76
US5949181045;2000-10-27;80
US5949181045;2000-10-30;81
US5949181045;2000-10-31;81
US5949181045;2000-11-01;80.5
US5949181045;2000-11-02;82
US5949181045;2000-11-03;79.7
US5949181045;2000-11-06;81.95
US5949181045;2000-11-07;83.95
US5949181045;2000-11-08;83
US5949181045;2000-11-09;82.6
US5949181045;2000-11-10;77
US5949181045;2000-11-13;75.5
US5949181045;2000-11-14;75.5
US5949181045;2000-11-15;81.3
